link,Nome,Endereco
https://www.smartfit.com.br/academias/anapolis,Anápolis,"Avenida Brasil Norte, 1080 - Cidade Jardim"
https://www.smartfit.com.br/academias/patteo-olinda-shopping,Patteo Olinda Shopping ,Av. Carlos de Lima X Av. José Augusto Moreira - Casa Caiada
https://www.smartfit.com.br/academias/desembargador-gois-cavalcante,Desembargador Góis Cavalcante,"Rua Desembargador Góis Cavalcante, 480 - Casa Amarela"
https://www.smartfit.com.br/academias/aflitos,Aflitos,"Avenida Conselheiro Rosa e Silva, 1832 - Aflitos"
https://www.smartfit.com.br/academias/torre,Torre,"Rua José Bonifácio, 1315 - Torre"
https://www.smartfit.com.br/academias/madalena,Madalena,"Rua Heitor Maia Filho, S/N - QO, L01 - Madalena"
https://www.smartfit.com.br/academias/boa-vista,Boa Vista,Avenida Conde da Boa Vista Nº 770 - Loja 3 - Boa Vista
https://www.smartfit.com.br/academias/conselheiro-aguiar,Conselheiro Aguiar,"Rua Ernesto de Paula Santos, 187 - Boa Viagem"
https://www.smartfit.com.br/academias/setubal,Setúbal ,"Rua José Hipólito Cardoso, 254 - Boa Viagem"
https://www.smartfit.com.br/academias/caruaru,Caruaru,Rua Adjar da Silva Casé - Indianópolis
https://www.smartfit.com.br/academias/blumenau,Blumenau,"Via Expressa Paul Fritz Kuehnrich, 1600 - Itoupava Norte"
https://www.smartfit.com.br/academias/av-getulio-vargas-i,Av. Getúlio Vargas I,"Av. Getúlio Vargas, 25-16 - Vila Aviação"
https://www.smartfit.com.br/academias/av-getulio-vargas-ii,Av. Getúlio Vargas II,"Av. Getulio Vargas, 8-15 - Jardim Aeroporto"
https://www.smartfit.com.br/academias/itapetininga,Itapetininga ,"Avenida Peixoto Gomide, 417 - Centro"
https://www.smartfit.com.br/academias/holandeses,Holandeses,"Avenida dos Holandeses, 17 - Calhau "
https://www.smartfit.com.br/academias/cohama,Cohama,"Avenida Daniel de La Touche, 100 - Cohama"
https://www.smartfit.com.br/academias/rio-anil-shopping,Rio Anil Shopping,"Av. São Luís Rei de França, 8 - Turu"
https://www.smartfit.com.br/academias/sobral,Sobral,"Av. Monsenhor Aloisio Pinto, 300  - Dom Expedito"
https://www.smartfit.com.br/academias/presidente-prudente,Presidente Prudente,"Rua Siqueira Campos, 1545 - Vila Roberto"
https://www.smartfit.com.br/academias/santa-felicidade,Santa Felicidade,"Avenida Manoel Ribas, 5712 - Santa Felicidade"
https://www.smartfit.com.br/academias/cabral,Cabral,"Avenida Paraná, nº1250 - Cabral"
https://www.smartfit.com.br/academias/bacacheri,Bacacheri,"Avenida Monteiro Tourinho, 54 - Bacacheri"
https://www.smartfit.com.br/academias/colombo,Colombo,"Rua Durval Ceccon, Nº664 - Jardim Nossa Senhora de Fátima"
https://www.smartfit.com.br/academias/juveve,Juvevê,"Rua Augusto Stresser, 1588 - Juvevê"
https://www.smartfit.com.br/academias/parque-barigui,Parque Barigui,"Rua General Mário Tourinho, 2489 - Seminário"
https://www.smartfit.com.br/academias/champagnat,Champagnat,"Rua General Mário Tourinho, 1805 - Campina do Siqueira"
https://www.smartfit.com.br/academias/shopping-estacao,Shopping Estação,"Av. Sete de Setembro, 2775 - Centro"
https://www.smartfit.com.br/academias/gv-shopping,GV Shopping,"Rua Sete de Setembro, 3500 - Centro"
https://www.smartfit.com.br/academias/caruaru,Caruaru,Rua Adjar da Silva Casé - Indianópolis
https://www.smartfit.com.br/academias/caxias-do-sul,Caxias do Sul,"Rua Vinte de Setembro, 1788 - Lurdes"
https://www.smartfit.com.br/academias/pereira-inacio,Pereira Inácio,"Avenida Comendador Pereira Inácio, 820 - Jardim Vergueiro"
https://www.smartfit.com.br/academias/campolim,Campolim,"Avenida Antônio Carlos Comitre, 2051 - Parque Campolim"
https://www.smartfit.com.br/academias/general-carneiro,General Carneiro,"Avenida General Carneiro, 1120 (Dentro do supermercado Tauste) - Vila Lucy"
https://www.smartfit.com.br/academias/shopping-cidade-sorocaba,Shopping Cidade Sorocaba,"Avenida Itavuvu, 3365 - Jardim Santa Cecília"
https://www.smartfit.com.br/academias/comendador-fragata,Comendador Fragata,"Rua Comendador Fragata, nº 1052 - "
https://www.smartfit.com.br/academias/marilia,Marília,"Av. Tiradentes, 1048  - Quadra 2 - Lote B - Fragata"
https://www.smartfit.com.br/academias/bourbon-wallig,Bourbon Wallig,"Avenida Grécia, 1500 - Passo D'Areia"
https://www.smartfit.com.br/academias/jardim-europa,Jardim Europa,"Avenida Doutor Nilo Peçanha, 3228 - Bela Vista"
https://www.smartfit.com.br/academias/bourbon-shopping-assis-brasil,Bourbon Shopping Assis Brasil,"Av. Assis Brasil, 164 - São João"
https://www.smartfit.com.br/academias/anita-mall,Anita Mall,"Rua Anita Garibaldi, 600 - Mont Serrat"
https://www.smartfit.com.br/academias/canoas,Canoas,"Av. Farroupilha, 4545 - Marechal Rondon"
https://www.smartfit.com.br/academias/centro,Centro,"Rua Sete de Setembro, 709 - Centro"
https://www.smartfit.com.br/academias/menino-deus,Menino Deus,"Avenida Getúlio Vargas, 1644 - Menino Deus"
https://www.smartfit.com.br/academias/otto-niemeyer,Otto Niemeyer,"Avenida Otto Niemeyer, nº2500 - Loja 116 - Camaquã"
https://www.smartfit.com.br/academias/americana,Americana,"Avenida Brasil, 1955 - Jardim São Paulo"
https://www.smartfit.com.br/academias/santa-barbara-doeste,Santa Bárbara D’Oeste,"Rua do Osmio, 975 - Vila Mollon IV"
https://www.smartfit.com.br/academias/sumare,Sumaré,"Praça da República, 148 - Centro"
https://www.smartfit.com.br/academias/hortolandia,Hortolândia,"Rua José Camilo de Camargo, 05 - Loteamento Remanso Campineiro"
https://www.smartfit.com.br/academias/paulinia,Paulínia,"Rua Bolívia, 60 - Jardim América"
https://www.smartfit.com.br/academias/limeira,Limeira,"Avenida Campinas, 50 - Vila Cidade Jardim"
https://www.smartfit.com.br/academias/barao-geraldo,Barão Geraldo,"Avenida Santa Isabel, 1030 - Vila Santa Isabel"
